countyFIPS,year,proprietors,prop_percap,prop_growth,str,imtr,cmtr,KPost2012,qtryr,pop10,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
8077,2010,22126,0.151045151,5.199495657,2.9,4.63,4.63,0,2010.1,14.6486,7,0,0,0,0
8077,2011,22472,0.152692088,0.015637711,2.9,4.63,4.63,0,2011.1,14.7172,8,0,0,0,0
8077,2012,22556,0.152952106,0.003737985,2.9,4.63,4.63,0,2012.1,14.7471,9,0,0,0,0
8077,2013,22588,0.153271992,0.001418691,2.9,4.63,4.63,0,2013.1,14.7372,10,0,0,0,0
8077,2014,22810,0.154641971,0.009828227,2.9,4.63,4.63,0,2014.1,14.7502,11,0,0,0,0
8079,2010,326,0.463068182,-0.985708023,2.9,4.63,4.63,0,2010.1,0.0704,7,0,0,0,0
8079,2011,308,0.433192686,-0.055214724,2.9,4.63,4.63,0,2011.1,0.0711,8,0,0,0,0
8079,2012,320,0.450704225,0.038961039,2.9,4.63,4.63,0,2012.1,0.071,9,0,0,0,0
8079,2013,322,0.44598338,0.00625,2.9,4.63,4.63,0,2013.1,0.0722,10,0,0,0,0
8079,2014,314,0.453102453,-0.02484472,2.9,4.63,4.63,0,2014.1,0.0693,11,0,0,0,0
8081,2010,2150,0.155661743,5.847133758,2.9,4.63,4.63,0,2010.1,1.3812,7,0,0,0,0
8081,2011,2104,0.156734207,-0.021395349,2.9,4.63,4.63,0,2011.1,1.3424,8,0,0,0,0
8081,2012,2126,0.161501064,0.010456274,2.9,4.63,4.63,0,2012.1,1.3164,9,0,0,0,0
8081,2013,2130,0.162607833,0.001881468,2.9,4.63,4.63,0,2013.1,1.3099,10,0,0,0,0
8081,2014,2123,0.164586402,-0.003286385,2.9,4.63,4.63,0,2014.1,1.2899,11,0,0,0,0
8083,2010,4706,0.184166243,1.216674517,2.9,4.63,4.63,0,2010.1,2.5553,7,0,0,0,0
8083,2011,4776,0.187536812,0.014874628,2.9,4.63,4.63,0,2011.1,2.5467,8,0,0,0,0
8083,2012,4935,0.194008727,0.033291457,2.9,4.63,4.63,0,2012.1,2.5437,9,0,0,0,0
8083,2013,5071,0.197645867,0.027558257,2.9,4.63,4.63,0,2013.1,2.5657,10,0,0,0,0
8083,2014,5038,0.19540007,-0.006507592,2.9,4.63,4.63,0,2014.1,2.5783,11,0,0,0,0
