year,stateFIPS,countyFIPS,PPCSTOT,TOTALEXP,TCURSPND
2011,8,8021.0,31274,15869,15304
2011,8,8023.0,21655,13053,5512
2011,8,8025.0,8148,4237,4017
2011,8,8027.0,9337,4474,4239
2011,8,8029.0,7591,50352,41826
2011,8,8031.0,10468,1104750,854303
2011,8,8033.0,9625,3180,2974
2011,8,8035.0,7548,536544,464275
2011,8,8037.0,10608,82992,66014
2011,8,8039.0,62237,33368,29952
2011,8,8041.0,124654,1003041,902768
2011,8,8043.0,28576,49291,45420
2011,8,8045.0,25739,112299,94203
2011,8,8047.0,11492,5059,4436
2011,8,8049.0,19764,20097,16944
2011,8,8051.0,8145,29430,15183
2011,8,8053.0,14573,1439,1406
2011,8,8055.0,21437,8953,8102
2011,8,8057.0,11877,2756,2516
2011,8,8059.0,8815,833491,758114
2011,8,8061.0,24748,3367,3261
2011,8,8063.0,57332,14666,13457
2011,8,8065.0,8785,27257,19197
2011,8,8067.0,28934,73160,66391
2011,8,8069.0,25775,399806,364694
2011,8,8071.0,75721,26338,24654
2011,8,8073.0,28946,18626,13296
2011,8,8075.0,43325,29716,27369
2011,8,8077.0,29112,205667,184324
2011,8,8079.0,18826,1809,1732
2011,8,8081.0,9017,24022,21712
2011,8,8083.0,26185,36455,34340
2011,8,8085.0,18519,56661,52974
2011,8,8087.0,33968,48162,44304
2011,8,8089.0,60863,39629,33792
2011,8,8091.0,25897,8152,7184
2011,8,8093.0,20281,26046,17669
2011,8,8095.0,17683,14053,12034
2011,8,8097.0,12579,29109,21724
2011,8,8099.0,37593,29346,22668
2011,8,8101.0,15557,238549,221288
2011,8,8103.0,17529,17911,11997
2011,8,8105.0,25196,25166,18172
2011,8,8107.0,32923,38511,33212
2011,8,8109.0,41423,16397,11687
2011,8,8111.0,17738,5857,1153
2011,8,8113.0,24856,14532,13103
2011,8,8115.0,20856,12658,11932
2011,8,8117.0,10513,42144,33155
2011,8,8119.0,20365,32717,27749
2011,8,8121.0,63342,14363,10706
2011,8,8123.0,119525,331550,299166
2011,8,8125.0,46569,18787,16537
2011,20,20001.0,32060,25299,23989
2011,20,20003.0,20707,14810,13357
2011,20,20005.0,20830,27150,24612
2011,20,20007.0,23261,9318,8085
2011,20,20009.0,27578,41866,39077
2011,20,20011.0,18734,23022,21770
2011,20,20013.0,22298,17896,16578
2011,20,20015.0,83553,168234,125834
2011,20,20017.0,10868,4779,4347
2011,20,20019.0,23540,6623,6170
2011,20,20021.0,40096,39771,37749
2011,20,20023.0,25960,5837,5344
2011,20,20025.0,21761,5864,5471
2011,20,20027.0,8627,12924,12129
2011,20,20029.0,21477,15391,14701
2011,20,20031.0,32331,20943,17538
2011,20,20033.0,11021,3799,3692
2011,20,20035.0,51660,77529,59758
2011,20,20037.0,49789,64904,59571
2011,20,20039.0,11592,4658,4289
2011,20,20041.0,50757,57053,36848
2011,20,20043.0,34070,17773,16859
2011,20,20045.0,26852,156906,127139
2011,20,20047.0,28141,6008,5574
2011,20,20049.0,24658,6939,6645
2011,20,20051.0,30465,42152,37187
2011,20,20053.0,22889,15483,14091
