,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
806688,26204900600000,E36,38872,2012,R,29.0,29097.0
812919,26208000400000,E36,90640,2012,R,29.0,29159.0
824167,26400415100000,E36,101,2012,I,29.0,29007.0
824532,26400580200000,E36,10,2012,R,29.0,29009.0
826513,26402060300000,E36,10089,2012,R,29.0,29039.0
827019,26402480300000,E36,175151,2012,R,29.0,29047.0
827809,26403380100000,E36,17058,2012,R,29.0,29065.0
828303,26403770100000,E36,14464,2012,R,29.0,29073.0
828659,26404120100000,E36,14474,2012,R,29.0,29081.0
828867,26404280200000,E36,61553,2012,R,29.0,29083.0
830253,26405160500000,E36,71625,2012,R,29.0,29101.0
833478,26408440100000,E36,97358,2012,R,29.0,29167.0
834654,26409390100000,E36,7832,2012,R,29.0,29185.0
834669,26409390200000,E36,7503,2012,R,29.0,29185.0
836087,26410080100000,E36,15830,2012,R,29.0,29199.0
836722,26410690300000,E36,6159,2012,R,29.0,29211.0
836882,26410860300000,E36,26045,2012,I,29.0,29215.0
461434,37000000000000,E36,238777,2014,R,40.0,
461671,37100300300000,E36,1357,2014,I,40.0,40005.0
461690,37100400400000,E36,1448,2014,I,40.0,40007.0
462070,37101601600000,E36,213098,2014,R,40.0,40031.0
462265,37102302300000,E36,5642,2014,I,40.0,40045.0
462342,37102602600000,E36,47705,2014,I,40.0,40051.0
462541,37103303300000,E36,63927,2014,R,40.0,40065.0
462729,37103903900000,E36,264,2014,R,40.0,40077.0
463012,37105005000000,E36,12795,2014,I,40.0,40099.0
463462,37106406400000,E36,9322,2014,I,40.0,40127.0
463480,37106506500000,E36,4526,2014,I,40.0,40129.0
463555,37106806800000,E36,16858,2014,I,40.0,40135.0
463599,37107007000000,E36,21510,2014,S,40.0,40139.0
464085,37200900200000,E36,348,2014,R,40.0,40017.0
464264,37201100100000,E36,82288,2014,R,40.0,40021.0
464412,37201400400000,E36,312523,2014,R,40.0,40027.0
464632,37202000300000,E36,14,2014,R,40.0,40039.0
465494,37205100600000,E36,90400,2014,I,40.0,40101.0
466063,37206101000000,E36,77271,2014,R,40.0,40121.0
464332,37000000000000,E36,255768,2013,R,40.0,
464503,37100300300000,E36,1144,2013,R,40.0,40005.0
464522,37100400400000,E36,1221,2013,I,40.0,40007.0
464773,37101601600000,E36,192577,2013,R,40.0,40031.0
465009,37102602600000,E36,40223,2013,R,40.0,40051.0
465048,37103303300000,E36,66298,2013,R,40.0,40065.0
465369,37105005000000,E36,10788,2013,R,40.0,40099.0
465743,37106406400000,E36,7860,2013,I,40.0,40127.0
465761,37106506500000,E36,3816,2013,I,40.0,40129.0
465837,37106806800000,E36,14214,2013,I,40.0,40135.0
465883,37107007000000,E36,25700,2013,I,40.0,40139.0
465922,37107107100000,E36,7957,2013,R,40.0,40141.0
466569,37201100100000,E36,65654,2013,R,40.0,40021.0
466683,37201400400000,E36,298631,2013,R,40.0,40027.0
467688,37205100600000,E36,90400,2013,R,40.0,40101.0
468276,37206101000000,E36,79842,2013,R,40.0,40121.0
1206024,37000000000000,E36,280142,2012,R,40.0,
1206221,37100200200000,E36,3,2012,I,40.0,40003.0
1206268,37100400400000,E36,1235,2012,R,40.0,40007.0
1206529,37101201200000,E36,772,2012,R,40.0,40023.0
1206673,37101601600000,E36,205712,2012,R,40.0,40031.0
1206893,37102302300000,E36,4684,2012,I,40.0,40045.0
1207007,37102602600000,E36,40223,2012,R,40.0,40051.0
1207084,37102902900000,E36,21,2012,I,40.0,40057.0
1207103,37103003000000,E36,591,2012,I,40.0,40059.0
1207193,37103303300000,E36,66151,2012,R,40.0,40065.0
1207363,37103903900000,E36,7241,2012,R,40.0,40077.0
1207734,37105005000000,E36,11039,2012,R,40.0,40099.0
1208187,37106406400000,E36,7427,2012,R,40.0,40127.0
1208215,37106506500000,E36,3859,2012,R,40.0,40129.0
1208314,37106806800000,E36,14073,2012,R,40.0,40135.0
1208381,37107007000000,E36,24712,2012,A,40.0,40139.0
1209521,37200600600000,E36,4728,2012,R,40.0,40011.0
1209576,37200600700000,E36,4731,2012,R,40.0,40011.0
1210015,37200800300000,E36,3,2012,R,40.0,40015.0
1210697,37201000300000,E36,3542,2012,I,40.0,40019.0
1210909,37201100100000,E36,71597,2012,R,40.0,40021.0
1211334,37201400400000,E36,281619,2012,R,40.0,40027.0
1213226,37202300400000,E36,9024,2012,R,40.0,40045.0
1213670,37202500200000,E36,8926,2012,R,40.0,40049.0
1214535,37202800300000,E36,344,2012,R,40.0,40055.0
1216766,37204001000000,E36,11,2012,I,40.0,40079.0
1218407,37204700300000,E36,5197,2012,R,40.0,40093.0
1219165,37205100600000,E36,88533,2012,R,40.0,40101.0
1219439,37205200400000,E36,7574,2012,R,40.0,40103.0
1219813,37205500100000,E36,146,2012,I,40.0,40109.0
1220885,37205700400000,E36,3652,2012,I,40.0,40113.0
1222070,37206101000000,E36,72301,2012,R,40.0,40121.0
1225451,37207600600000,E36,1401,2012,I,40.0,40151.0
334143,28000000000000,E36,261871,2014,R,31.0,
334319,28100600600000,E36,25020,2014,R,31.0,31011.0
334361,28100700700000,E36,28649,2014,I,31.0,31013.0
334471,28101201200000,E36,13569,2014,I,31.0,31023.0
334573,28101501500000,E36,14523,2014,I,31.0,31029.0
334606,28101601600000,E36,13853,2014,R,31.0,31031.0
334736,28102702700000,E36,80540,2014,R,31.0,31053.0
334788,28102802800000,E36,40968,2014,I,31.0,31055.0
334829,28103003000000,E36,10964,2014,I,31.0,31059.0
335012,28104204200000,E36,7779,2014,R,31.0,31083.0
335077,28104704700000,E36,12747,2014,I,31.0,31093.0
335136,28105005000000,E36,8245,2014,R,31.0,31099.0
335341,28106106100000,E36,10407,2014,R,31.0,31121.0
335376,28106406400000,E36,11087,2014,R,31.0,31127.0
335537,28107207200000,E36,5872,2014,I,31.0,31143.0
335636,28107507500000,E36,5302,2014,I,31.0,31149.0
335760,28107807800000,E36,17462,2014,I,31.0,31155.0
